 ,Volume (µm^3),Surface (µm^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (µm),SD dist. to surf. (µm),Median dist. to surf. (µm),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
14,253.327,353.318,0,643,34167,21,0,0,21,0,225.147,207.566,20.947,3.994,0,0,225.147,207.566,20.947,0,0,0,0,0,0
15,586.373,555.976,0,1024,94150,25,0,0,25,0,235.332,253.003,20.953,5.410,0,0,235.327,253.003,20.953,0,0,0,0,0,0
16,373.218,441.817,0,868,26367,11,0,0,11,0,325.672,170.434,19.325,4.401,0,0,325.672,170.434,19.325,0,0,0,0,0,0
17,94.355,187.087,0,302,10908,18,0,0,18,0,213.528,207.485,19.025,3.157,0,0,213.528,207.485,19.025,0,0,0,0,0,0
18,499.803,476.725,0,926,73830,23,0,0,23,0,227.537,233.306,20.676,4.921,0,0,227.537,233.306,20.676,0,0,0,0,0,0
19,1006.613,1148.737,0,2160,219810,34,0,0,34,0,378.414,183.193,25.599,6.239,0,0,378.401,183.193,25.599,0,0,0,0,0,0
20,1180.221,1191.573,0,2432,250140,33,0,0,33,0,160.042,320.449,24.915,8.026,0,0,160.035,320.448,24.915,0,0,0,0,0,0
21,326.974,401.625,0,748,58800,28,0,0,28,0,207.470,233.545,23.704,4.694,0,0,207.470,233.545,23.704,0,0,0,0,0,0
22,840.635,666.499,0,1403,145773,27,0,0,27,0,165.709,241.019,23.260,5.673,0,0,165.714,241.019,23.260,0,0,0,0,0,0
23,322.614,402.833,0,710,60088,29,0,0,29,0,208.294,246.460,23.745,4.751,0,0,208.294,246.460,23.745,0,0,0,0,0,0
24,98.248,195.188,0,312,22085,35,0,0,35,0,198.712,240.694,23.041,3.264,0,0,198.712,240.694,23.041,0,0,0,0,0,0
25,691.161,633.721,0,1158,133170,30,0,0,30,0,220.871,283.879,25.032,5.697,0,0,220.871,283.879,25.032,0,0,0,0,0,0
